Compliance Year,RIN Year,Categories,Fuel (D Code),Assignment,Total RINs
"2024","2024","RIN Originator","D6","Assigned","12,721,750,449"
"2024","2024","RIN Originator","D6","Separated","109,290,552"
"2024","2024","RIN Originator","D7","Separated","259,384"
"2024","2024","RIN Owner","D3","Separated","252,181,357"
"2024","2024","RIN Owner","D3","Assigned","15,633,362"
"2024","2024","RIN Owner","D4","Separated","2,605,298,165"
"2024","2024","RIN Owner","D4","Assigned","597,196,203"
"2024","2024","RIN Owner","D5","Separated","12,798,788"
"2024","2024","RIN Owner","D5","Assigned","1,546,351"
"2024","2024","RIN Owner","D6","Separated","4,236,400,635"
"2024","2024","RIN Owner","D6","Assigned","3,318,101,332"
"2024","2024","RIN Owner","D7","Separated","259,384"
"2024","2023","Exporter","D3","Separated","98,651,273"
"2024","2023","Exporter","D4","Separated","681,989,494"
"2024","2023","Exporter","D4","Assigned","292,448,032"
"2024","2023","Exporter","D5","Separated","3,305,334"
"2024","2023","Exporter","D5","Assigned","2,736,766"
"2024","2023","Exporter","D6","Separated","531,762,404"
"2024","2023","Exporter","D6","Assigned","300,810,881"
"2024","2023","Obligated Party","D3","Separated","134,642,839"
"2024","2023","Obligated Party","D4","Separated","1,994,845,025"
"2024","2023","Obligated Party","D4","Assigned","95,222,940"
"2024","2023","Obligated Party","D5","Separated","16,010,960"
"2024","2023","Obligated Party","D5","Assigned","45,446"
"2024","2023","Obligated Party","D6","Separated","2,834,677,975"
"2024","2023","Obligated Party","D6","Assigned","90,607,724"
"2024","2023","RIN Originator","D3","Separated","88,819,268"
"2024","2023","RIN Originator","D3","Assigned","29,024"
"2024","2023","RIN Originator","D4","Separated","247,021,357"
"2024","2023","RIN Originator","D4","Assigned","168,937,180"
"2024","2023","RIN Originator","D5","Separated","550,320"
"2024","2023","RIN Originator","D5","Assigned","49,274"
"2024","2023","RIN Originator","D6","Separated","19,176,015"
"2024","2023","RIN Originator","D6","Assigned","17,315,789"
"2024","2023","RIN Owner","D3","Separated","66,574,201"
"2024","2023","RIN Owner","D4","Separated","1,059,195,180"
"2024","2023","RIN Owner","D4","Assigned","45,685,558"
"2024","2023","RIN Owner","D5","Separated","14,123,873"
"2024","2023","RIN Owner","D5","Assigned","1,101,473"
"2024","2023","RIN Owner","D6","Separated","1,484,878,763"
"2024","2023","RIN Owner","D6","Assigned","84,900,289"
"2024","2023","RIN Owner","D7","Separated","208,643"
"2024","2022","Exporter","D3","Separated","1,758,167"
"2024","2022","Exporter","D4","Separated","1,559,238"
"2024","2022","Exporter","D4","Assigned","1,294,950"
"2024","2022","Exporter","D6","Separated","7,212,782"
"2024","2022","Exporter","D6","Assigned","306,441"
"2024","2022","Obligated Party","D3","Separated","5,249,308"
"2024","2022","Obligated Party","D4","Separated","25,483,594"
"2024","2022","Obligated Party","D5","Separated","322,450"
"2024","2022","Obligated Party","D6","Separated","29,055,508"
"2024","2022","RIN Originator","D3","Separated","20,172"
"2024","2022","RIN Originator","D4","Separated","3,380,619"
"2024","2022","RIN Originator","D4","Assigned","344,160"
"2024","2022","RIN Originator","D6","Separated","28,992"
"2024","2022","RIN Owner","D3","Separated","5,445,973"
"2024","2022","RIN Owner","D4","Separated","3,126,460"
"2024","2022","RIN Owner","D5","Separated","5,999,172"
"2024","2022","RIN Owner","D6","Separated","20,753,625"
"2024","2022","RIN Owner","D6","Assigned","1,425,353"
"2024","2022","RIN Owner","D7","Separated","33,897"
"2024","2021","RIN Owner","D6","Separated","32,685"
"2023","2023","Exporter","D3","Separated","54,722,698"
"2023","2023","Exporter","D4","Assigned","2,687,902,302"
"2023","2023","Exporter","D4","Separated","2,511,405,804"
"2023","2023","Exporter","D5","Assigned","55,683,503"
"2023","2023","Exporter","D5","Separated","4,161,019"
"2023","2023","Exporter","D6","Assigned","8,584,229,028"
"2023","2023","Exporter","D6","Separated","2,663,564,013"
"2023","2023","Obligated Party","D3","Separated","346,282,748"
"2023","2023","Obligated Party","D4","Separated","3,644,638,947"
"2023","2023","Obligated Party","D4","Assigned","265,100,751"
"2023","2023","Obligated Party","D5","Separated","95,524,262"
"2023","2023","Obligated Party","D6","Separated","10,339,801,595"
"2023","2023","Obligated Party","D6","Assigned","1,257,052,582"
"2023","2023","RIN Originator","D3","Separated","758,420,976"
"2023","2023","RIN Originator","D3","Assigned","1,207,509"
"2023","2023","RIN Originator","D4","Assigned","3,497,007,097"
