Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),Assignment,QAP Type,Total RINs Traded
"4/17/2017","2017","2016","D6","Separated","Unverified","40,049,684"
"4/17/2017","2017","2017","D6","Assigned","Q-RIN","41,102,917"
"4/17/2017","2017","2017","D6","Assigned","Unverified","477,372,472"
"4/17/2017","2017","2017","D6","Separated","Q-RIN","17,023"
"4/17/2017","2017","2017","D6","Separated","Unverified","258,278,980"
"4/24/2017","2017","2016","D6","Assigned","Unverified","660"
"4/24/2017","2017","2016","D6","Separated","Q-RIN","26,320"
"4/24/2017","2017","2016","D6","Separated","Unverified","48,683,869"
"4/24/2017","2017","2017","D6","Assigned","Q-RIN","47,876,661"
"4/24/2017","2017","2017","D6","Assigned","Unverified","474,749,810"
"4/24/2017","2017","2017","D6","Separated","Q-RIN","3,692,670"
"4/24/2017","2017","2017","D6","Separated","Unverified","335,729,136"
"5/1/2017","2017","2016","D6","Separated","Unverified","13,432,516"
"5/1/2017","2017","2017","D6","Assigned","Q-RIN","33,813,754"
"5/1/2017","2017","2017","D6","Assigned","Unverified","451,807,811"
"5/1/2017","2017","2017","D6","Separated","Q-RIN","195,635"
"5/1/2017","2017","2017","D6","Separated","Unverified","185,741,765"
"5/8/2017","2017","2016","D6","Separated","Unverified","15,428,363"
"5/8/2017","2017","2017","D6","Assigned","Q-RIN","43,840,697"
"5/8/2017","2017","2017","D6","Assigned","Unverified","438,364,468"
"5/8/2017","2017","2017","D6","Separated","Q-RIN","1,119,886"
"5/8/2017","2017","2017","D6","Separated","Unverified","265,642,565"
"5/15/2017","2017","2016","D6","Separated","Unverified","30,654,547"
"5/15/2017","2017","2017","D6","Assigned","Q-RIN","34,618,788"
"5/15/2017","2017","2017","D6","Assigned","Unverified","462,153,781"
"5/15/2017","2017","2017","D6","Separated","Q-RIN","5,500,000"
"5/15/2017","2017","2017","D6","Separated","Unverified","251,693,867"
"5/22/2017","2017","2016","D6","Separated","Q-RIN","32,000"
"5/22/2017","2017","2016","D6","Separated","Unverified","26,496,953"
"5/22/2017","2017","2017","D6","Assigned","Q-RIN","41,154,998"
"5/22/2017","2017","2017","D6","Assigned","Unverified","444,151,054"
"5/22/2017","2017","2017","D6","Separated","Q-RIN","62,425"
"5/22/2017","2017","2017","D6","Separated","Unverified","253,199,649"
"5/29/2017","2017","2016","D6","Assigned","Unverified","60,114"
"5/29/2017","2017","2016","D6","Separated","Unverified","17,521,576"
"5/29/2017","2017","2017","D6","Assigned","Q-RIN","43,919,630"
"5/29/2017","2017","2017","D6","Assigned","Unverified","432,260,470"
"5/29/2017","2017","2017","D6","Separated","Q-RIN","630,000"
"5/29/2017","2017","2017","D6","Separated","Unverified","326,269,890"
"6/5/2017","2017","2016","D6","Assigned","Unverified","53,626"
"6/5/2017","2017","2016","D6","Separated","Q-RIN","493,767"
"6/5/2017","2017","2016","D6","Separated","Unverified","18,788,392"
"6/5/2017","2017","2017","D6","Assigned","Q-RIN","39,026,596"
"6/5/2017","2017","2017","D6","Assigned","Unverified","413,048,111"
"6/5/2017","2017","2017","D6","Separated","Unverified","424,666,474"
"6/12/2017","2017","2016","D6","Assigned","Q-RIN","7,980"
"6/12/2017","2017","2016","D6","Separated","Unverified","53,024,607"
"6/12/2017","2017","2017","D6","Assigned","Q-RIN","43,312,521"
"6/12/2017","2017","2017","D6","Assigned","Unverified","447,903,574"
"6/12/2017","2017","2017","D6","Separated","Q-RIN","5,257,996"
"6/12/2017","2017","2017","D6","Separated","Unverified","399,754,929"
"6/19/2017","2017","2016","D6","Separated","Unverified","8,832,551"
"6/19/2017","2017","2017","D6","Assigned","Q-RIN","40,870,816"
"6/19/2017","2017","2017","D6","Assigned","Unverified","446,962,125"
"6/19/2017","2017","2017","D6","Separated","Q-RIN","1,200,000"
"6/19/2017","2017","2017","D6","Separated","Unverified","536,509,141"
"6/26/2017","2017","2016","D6","Separated","Unverified","10,380,758"
"6/26/2017","2017","2017","D6","Assigned","Q-RIN","37,540,393"
"6/26/2017","2017","2017","D6","Assigned","Unverified","461,021,091"
"6/26/2017","2017","2017","D6","Separated","Q-RIN","371,823"
"6/26/2017","2017","2017","D6","Separated","Unverified","575,457,033"
"7/3/2017","2017","2016","D6","Separated","Unverified","3,907,887"
"7/3/2017","2017","2017","D6","Assigned","Q-RIN","39,302,699"
"7/3/2017","2017","2017","D6","Assigned","Unverified","411,891,263"
"7/3/2017","2017","2017","D6","Separated","Q-RIN","578,800"
"7/3/2017","2017","2017","D6","Separated","Unverified","267,928,722"
"7/10/2017","2017","2016","D6","Separated","Q-RIN","26,088"
"7/10/2017","2017","2016","D6","Separated","Unverified","18,388,125"
"7/10/2017","2017","2017","D6","Assigned","Q-RIN","39,477,553"
"7/10/2017","2017","2017","D6","Assigned","Unverified","466,291,531"
"7/10/2017","2017","2017","D6","Separated","Q-RIN","208,599"
"7/10/2017","2017","2017","D6","Separated","Unverified","327,473,295"
"7/17/2017","2017","2016","D6","Separated","Unverified","21,532,232"
"7/17/2017","2017","2017","D6","Assigned","Q-RIN","42,768,907"
"7/17/2017","2017","2017","D6","Assigned","Unverified","462,313,550"
"7/17/2017","2017","2017","D6","Separated","Q-RIN","5,234,627"
"7/17/2017","2017","2017","D6","Separated","Unverified","435,714,669"
"7/24/2017","2017","2016","D6","Separated","Q-RIN","197,842"
"7/24/2017","2017","2016","D6","Separated","Unverified","39,403,832"
"7/24/2017","2017","2017","D6","Assigned","Q-RIN","35,833,112"
"7/24/2017","2017","2017","D6","Assigned","Unverified","464,980,906"
"7/24/2017","2017","2017","D6","Separated","Q-RIN","2,000,000"
"7/24/2017","2017","2017","D6","Separated","Unverified","287,881,622"
"7/31/2017","2017","2016","D6","Assigned","Unverified","15,776"
"7/31/2017","2017","2016","D6","Separated","Unverified","10,321,895"
"7/31/2017","2017","2017","D6","Assigned","Q-RIN","43,948,464"
"7/31/2017","2017","2017","D6","Assigned","Unverified","448,977,604"
"7/31/2017","2017","2017","D6","Separated","Q-RIN","786,491"
"7/31/2017","2017","2017","D6","Separated","Unverified","273,118,689"
"8/7/2017","2017","2016","D6","Separated","Unverified","2,516,818"
"8/7/2017","2017","2017","D6","Assigned","Q-RIN","38,010,139"
"8/7/2017","2017","2017","D6","Assigned","Unverified","446,245,625"
"8/7/2017","2017","2017","D6","Separated","Q-RIN","211,895"
"8/7/2017","2017","2017","D6","Separated","Unverified","325,046,032"
"8/14/2017","2017","2016","D6","Separated","Unverified","10,473,406"
"8/14/2017","2017","2017","D6","Assigned","Q-RIN","38,604,364"
"8/14/2017","2017","2017","D6","Assigned","Unverified","471,806,923"
"8/14/2017","2017","2017","D6","Separated","Q-RIN","6,124,112"
